capsule_id,rep_idx,question,gold_answer,submitted_answer,no_answer,exact_match
capsule-2804717,4,"fig From the Network Density plot (Figure 4), report the label for the red line (ignore spaces).",TS#1,,True,False
capsule-3418007,4,Report the F1 score for statistical general only.,0.7536528881857651,0.9458262870133395,False,False
capsule-3418007,4,fig Report the proposed model's AUC from the ROC curves figure. Ignore the confidence interval.,0.98,0.9848327559583407,False,True
capsule-1624349,4,Report the best accuracy of the hybrid filter wrapper strategy.,0.9506166187739464,0.9558441558441558,False,True
capsule-1624349,4,fig Report the name of the feature with the highest I-Gain.,RAWRED-MEAN,RAWRED-MEAN,False,True
capsule-9832712,4,"fig From Figure 2 in the cleaned results, report the percentage of 'Not Available' analysis scripts for Pre-RC (2008-09)",100,,True,False
capsule-9832712,4,"fig From Table 1 in the cleaned results, report the number of Included Articles After.OS",255,,True,False
capsule-2816027,4,"fig For CTCF Signature Enrichment, report the name of the group with the highest median GSVA score.",MCF7_D538G,MCF7_Y537S,False,False
capsule-3821950,4,"fig Report the name of the material with the highest Depth Below Surface at 10,000 calibrated years BP.",charcoal,NOT_AVAILABLE_RSCRIPT_MISSING,False,False
capsule-3821950,4,fig Report the name of the material with the highest mass (g) and 5000 years cal. BP.,ceramics,NOT_AVAILABLE_RSCRIPT_MISSING,False,False
capsule-9054015,4,"fig Report the percentage sensitivity for cancers A and B that has the highest number of cancers detected per 1,000 women for a 1.0% prevalance of cancer B.",90,90,False,True
capsule-3301293,4,Report the test RMSE of the model.,26.21204,26.21204,False,True
capsule-1724988,4,fig Report the task name with the higher median walking speed (m/s).,Walk,,True,False
capsule-1724988,4,fig Report the task name with the higher median straightness ratio.,Search,,True,False
capsule-4299879,4,"fig From the figure measuring homicide rate per 100k in the last 12 months, report the name of the sample with the lower homicide rate per 100k in 2000.",Colombia,Colombia,False,True
capsule-0851068,4,Report the final AUC after training.,0.9157952669235003,0.9157952669235003,False,True
capsule-1394704,4,fig Report the name of the method with the higher R0.,ML,EG,False,False
capsule-1394704,4,Report the R0 of EG.,1.035213,2.5,False,False
capsule-0504157,4,"fig From figure 1, report the CS presentation time with the greatest mean EC effect (ignore units).",1000,250,False,False
capsule-3593259,4,"fig From the violin plot of the energy comsumption of tap, report the name of the framework that consumes the most energy.",Appium,Appium,False,True
capsule-3639589,4,"fig Report the color of the line with the highest maximum activation for target memory activation, DM.",blue,orange,False,False
capsule-2345790,4,"From Study 1, report the mean of the response rate across all participants.",97.82,97.81538461538462,False,True
capsule-2345790,4,"From Study 2, report the mean of the response rate across all participants.",99.41,99.40767973856208,False,True
capsule-7716865,4,"fig From Table 1, report the sensitivity for 80% power and recalculated mean (regulation).",1.31,"[1.310389, 29.22222]",False,False
capsule-4933686,4,"fig From Figure 2 plot A, report Fisher's P. If the value is in scientific notion, convert it to a floating point number.",0.0182,0.0182408475996513,False,True
capsule-4933686,4,"fig From Figure 1 plot A, measuring time vs. metastasis-free survival, report the numerical value of HR (ignore the confidence interval).",2.15,2.15,False,True
capsule-9240688,4,"From table 1, report the portion relevant in both corpora.",0.44,0.438,False,True
capsule-1175539,4,fig Report the name of the patient group with the greater median concentricity.,SCZ,SCZ,False,True
capsule-2708693,4,"fig From table 1, report the k value for the medicine discipline.",81,0.67,False,False
capsule-2708693,4,"fig From table 3, report n for 'percentage of studies with at least one outcome discrepancy that disclose an outcome discrepancy'.",620,14,False,False
capsule-4252248,4,"fig Report the overall AUC from the PR curve generated with the CTRPv2 sensitivity dataset, tested against ATC annotations and drug-target information from CHEMBL.",0.4929241,,True,False
capsule-4671827,4,fig Report the name of the mapping with the higher execution time at 44 elements.,Semantic-based,12 Elements,False,False
capsule-7186268,4,"fig From laboratory test 18262-6, report the name of the method with the higher missing rate at gap 30.",By Window,By Individual,False,False
capsule-7186268,4,"fig From laboratory test 2160-0 Creatinine, report the ID number with the highest laboratory result at window 2.",109,36,False,False
capsule-5136217,4,"fig From figure 3 from the figures for publication, report the name of the party ID with the lowest share of political news from portals.",Lean DEM,Republican,False,False
capsule-7800694,4,Which model has the highest Macro F1?,CatBoost,CatBoost,False,True
capsule-7800694,4,What is the ROC AUC (macro OvR) of the best performing model?,0.957,0.957,False,True
capsule-8412128,4,What is the mean of the snf_effectiveness_index?,0.5791337825021187,0.5791337825021187,False,True
capsule-8412128,4,What is the median of the dignity_score?,0.5888590852515395,0.5888590852515395,False,True
capsule-7655932,4,What is the point estimate (deaths averted synthetic) from the child wasting impact model? Give results as integer.,280000,280000,False,True
capsule-7655932,4,What is the child wasting impact model reported 95% interval (synthetic)? Give a list of 2 integer value for the confidence interval.,"[196000, 364000]","[196000, 364000]",False,True
capsule-9294029,4,fig what location has the lowest median enrichment score?,H,C,False,False
capsule-6295990,4,What is the LBP model ROC-AUC (weighted),0.7142857,0.7142857,False,True
capsule-6295990,4,What is the percent AUC-Improvement? Give an integer,25,25,False,True
capsule-9477017,4,"fig Pearson correlation coefficients between the estimated proportions of different cell types were calculated, what is the highest pearson correlation related to? Give response in a list of strings","['Smooth.1', 'Endo.1']",['between Smooth.1 and Endo.1'],False,False
capsule-0201673,4,What is the mean_gdp_gain_pct?,0.9999005880537901,0.9999,False,True
capsule-0201673,4,What is the p95?,1.1643528158326386,1.1641,False,True
capsule-0201673,4,What is the p50?,0.9999966483532146,0.9999,False,True
capsule-0152700,4,fig are there more than 2 features with accuracy exceeding 0.4? Respond with yes or no.,yes,unknown,False,False
capsule-0152700,4,fig which joint has the lowest absolute spearman correlation for acceleration?,ankle,unknown,False,False
capsule-0152700,4,"Given the Kruskal-Wallis for Group 0-2 (Group 1 vs. Group 3), what is the p-value?",2.341092434893948e-10,unknown,False,False
capsule-2242462,4,"What is the Chromosome chr1 with positioning 1013983, IsNGGMatch status?",True,False,False,False
capsule-2242462,4,"What is the Chromosome chr1 with positioning 1319313, ABE8e_NG status?",False,False,False,True
capsule-3762736,4,What is the Task1_Only macro f1?,0.7012,0.701201729990186,False,True
capsule-3762736,4,What is the Winner_SCL RMSE?,0.4708,0.4707822886271859,False,True
